Source,Lyrics File,Song ID,Song Title,Artist,Album,Score,Status,Has Variants,Variant Rank,File Path
sattarov,ХАЛИДЕ,D2tdzD1fiyJG4SLAY0Nrty,Hayat-Linda,Hayat,Hayat,0.62,MEDIUM,YES,1/2,scripts/lyrics_sattarov/ХАЛИДЕ.txt
sattarov,Ялта,D2tdzD1fiyJG4SLAY0Nrty,Hayat-Linda,Hayat,Hayat,0.53,LOW,YES,2/2,scripts/lyrics_sattarov/Ялта.txt
sattarov,Ягъма ягъмур,Li47oEUqTFWSNd7pEUmwij,Güneş-Yağma yağmur,Güneş,Güneş,0.69,MEDIUM,NO,,scripts/lyrics_sattarov/Ягъма ягъмур.txt
sattarov,ХАЙДЕ СОЙЛЕ,0nfMgOW4Wusg3dF1FBQJe7,"Hayat-Söyle, dohtur",Hayat,Hayat,0.57,LOW,NO,,scripts/lyrics_sattarov/ХАЙДЕ СОЙЛЕ.txt
sattarov,Янгъызлыкъ ярасы,gtNA5UCdUvP9n3eGGfxS8M,Vetan-Kezlev haytarması,Vetan,Vetan,0.58,LOW,NO,,scripts/lyrics_sattarov/Янгъызлыкъ ярасы.txt
sattarov,ЧЫРПЫНЫРДЫ  КАРА  ДЕНИЗ,ZpEG5hBBa93omxSYN55ir5,Dilâver Osmanov-Qara deñiz,Dilâver Osmanov,Dilâver Osmanov,0.52,LOW,NO,,scripts/lyrics_sattarov/ЧЫРПЫНЫРДЫ  КАРА  ДЕНИЗ.txt
sattarov,Чалбаш бора,pDnOcIaRyZFlzzl1eV4zGf,Güneş-Çalbaş bora,Güneş,Güneş,0.67,MEDIUM,NO,,scripts/lyrics_sattarov/Чалбаш бора.txt
sattarov,ЧИП-ЧИП-ЧИПЧЕЛЕР,kcDvT4kSIRkPoQzshru2vw,Cipcelerim (Чипчелерим),Bulbul Kids,Bulbul Kids,0.63,MEDIUM,NO,,scripts/lyrics_sattarov/ЧИП-ЧИП-ЧИПЧЕЛЕР.txt
sattarov,ХОШ КЕЛЬДИНЪИЗ ЭВИМЕ,i5b4eLuG6v33pHflrCAUdH,Balalar-Hoş keldiñiz,Balalar,Balalar,0.59,LOW,NO,,scripts/lyrics_sattarov/ХОШ КЕЛЬДИНЪИЗ ЭВИМЕ.txt
sattarov,Яйля бою,60WnR49z7BOtFXCnpSHOty,Sato-Yaylâ boyu,Diger,Diger,0.80,HIGH,NO,,scripts/lyrics_sattarov/Яйля бою.txt
qmusic,009 - GÜNAY – QIRIM DEP AYTALAR,pf1YHsdNkKd4w9lVlLsW8r,Günay-Qırım dep aytalar,Günay,Günay,0.78,MEDIUM,YES,1/2,scripts/lyrics_qmusic/009 - GÜNAY – QIRIM DEP AYTALAR.txt
sattarov,Чакъырджы да дагъдан энеюр,pf1YHsdNkKd4w9lVlLsW8r,Günay-Qırım dep aytalar,Günay,Günay,0.48,LOW,YES,2/2,scripts/lyrics_sattarov/Чакъырджы да дагъдан энеюр.txt
sattarov,Шемсие,A62WvFVrWxUfYxsACEbl45,Destan-Anife,Destan (Fevzi Aliyev),Destan (Fevzi Aliyev),0.47,LOW,NO,,scripts/lyrics_sattarov/Шемсие.txt
sattarov,Эки де чомакъ баласын,8d32xoKpTHpNMtoxo1L2GD,Aqyar-Eki çomaq balası,Aqyar,Aqyar,0.73,MEDIUM,YES,1/2,scripts/lyrics_sattarov/Эки де чомакъ баласын.txt
crh_lt,Bekir Çoban-Zade - İşçi Balası,8d32xoKpTHpNMtoxo1L2GD,Aqyar-Eki çomaq balası,Aqyar,Aqyar,0.54,LOW,YES,2/2,scripts/lyrics_crh_lt/Bekir Çoban-Zade - İşçi Balası.txt
sattarov,Эминем мантар топлайыр,o14TTeVL1WJBMqV3UmNZau,Emine Mustafayeva-Yollar,Emine Mustafayeva,Emine Mustafayeva,0.58,LOW,NO,,scripts/lyrics_sattarov/Эминем мантар топлайыр.txt
sattarov,Язгъа чыкъсам,7QOyTPrc928mFTsjTE4u9J,Yeşil Ada-Yazğa çıqsam,Yeşil Ada,Yeşil Ada,0.61,MEDIUM,NO,,scripts/lyrics_sattarov/Язгъа чыкъсам.txt
sattarov,ТАТАРЛАРНЫНЪ  АШЛАРЫ,Di79YnZYoIEDE2N4rk2h3e,Lâle-Dağlarnıñ yolları,Lâle,Lâle,0.56,LOW,NO,,scripts/lyrics_sattarov/ТАТАРЛАРНЫНЪ  АШЛАРЫ.txt
sattarov,Чуфут Къызы,j0bnIIpbfUCMRtbWX2lqz5,Nilüfer-Uç quşçığım,Balalar,Balalar,0.50,LOW,NO,,scripts/lyrics_sattarov/Чуфут Къызы.txt
sattarov,Эминем,t8wD98Xi336YMq7btKhdIV,Günay-Eminem,Günay,Günay,0.71,MEDIUM,NO,,scripts/lyrics_sattarov/Эминем.txt
sattarov,Шаматалы келин,JLXkEv4VT4edsNYSgvum1J,FaTima-Aydı kel,FaTima,FaTima,0.64,MEDIUM,YES,1/2,scripts/lyrics_sattarov/Шаматалы келин.txt
crh_lt,"Unknown - Aydı, kel!",JLXkEv4VT4edsNYSgvum1J,FaTima-Aydı kel,FaTima,FaTima,0.53,LOW,YES,2/2,"scripts/lyrics_crh_lt/Unknown - Aydı, kel!.txt"
sattarov,Юксек  минарет,hzXAkGxOaEm83XTVXTOPr9,Anara-Yüksek minare,Anara,Anara,0.81,HIGH,NO,,scripts/lyrics_sattarov/Юксек  минарет.txt
sattarov,Эреджебим,19dCgtOay0KPUrcLxG3KCh,Arsen Osmanov-Erecebim,Arsen Osmanov,Arsen Osmanov,0.55,LOW,NO,,scripts/lyrics_sattarov/Эреджебим.txt
sattarov,Шу Къавказ,0OwMtmtuXZ1xvjN7pnrs2A,Minus-Dertli qaval,Diger,Diger,0.46,LOW,NO,,scripts/lyrics_sattarov/Шу Къавказ.txt
sattarov,Эльхамдюллиля,XLRTrFbcdlUFRg0Fsw8289,Ernes Emirasanov-Elhamdülillâ,Ernes Emirasanov,Ernes Emirasanov,0.52,LOW,NO,,scripts/lyrics_sattarov/Эльхамдюллиля.txt
sattarov,ЭБЕДИЙ,6DADnxcMrC78ShLKVLhYmm,Faeton-Ediye,Faeton,Faeton,0.59,LOW,NO,,scripts/lyrics_sattarov/ЭБЕДИЙ.txt
sattarov,Чагъыр мени гузелим,T4p705EanJ4Q4T7ksGzrkY,"Azim-Ey, güzel Qırım!",Azim,Azim,0.56,LOW,NO,,scripts/lyrics_sattarov/Чагъыр мени гузелим.txt
sattarov,ХАЛВАДЖИ,hrCblBWV35UKG0nmjppYqa,Hayat-Elvacı,Hayat,Hayat,0.53,LOW,NO,,scripts/lyrics_sattarov/ХАЛВАДЖИ.txt
sattarov,Чал атымнынъ тырнагъы,fZsobUwKV3CwYtIeV2kqGO,Salaçıq-Bizim taraf,Salaçıq,Salaçıq,0.49,LOW,NO,,scripts/lyrics_sattarov/Чал атымнынъ тырнагъы.txt
sattarov,Эдие,jme2WNRg9hArb7rQNIyjCm,Sanat-Ediye,Sanat,Sanat,0.57,LOW,NO,,scripts/lyrics_sattarov/Эдие.txt
sattarov,Хош кельдыныз мусафирлер,DEjNQUiPmnsSxeU6W14zTa,Qirim Yankisi - Hoşgeldiniz misafirler,Qırım Yankısı,Qırım Yankısı,0.58,LOW,NO,,scripts/lyrics_sattarov/Хош кельдыныз мусафирлер.txt
qmusic,012 - DESTAN - чимчарай,VAgsa3obVnpe24B94xLas1,Destan-Çimçaray,Destan (Fevzi Aliyev),Destan (Fevzi Aliyev),0.73,MEDIUM,YES,1/2,scripts/lyrics_qmusic/012 - DESTAN - чимчарай.txt
sattarov,ЧИМЧАРАЙ,VAgsa3obVnpe24B94xLas1,Destan-Çimçaray,Destan (Fevzi Aliyev),Destan (Fevzi Aliyev),0.55,LOW,YES,2/2,scripts/lyrics_sattarov/ЧИМЧАРАЙ.txt
sattarov,Эп бир,Yfb4R4fpAkk7L24x313yKe,Sevinch - Birdanem ,[Unknown Artist],[Unknown Album],0.45,LOW,NO,,scripts/lyrics_sattarov/Эп бир.txt
sattarov,Эништем,83DWXfdWNLZjFO81232pdW,Faeton-İsterim,Faeton,Faeton,0.60,MEDIUM,NO,,scripts/lyrics_sattarov/Эништем.txt
sattarov,Шалашим,GAd50aJ7vQWIqI94G25tFH,ILACIM,Nazife Reizova,Nazife Reizova ve Emine Ziadin,0.62,MEDIUM,NO,,scripts/lyrics_sattarov/Шалашим.txt
sattarov,Эки чешме,LrdRCq4YoGMj12PkwmNy9l,Minus-Eki çeşme,Diger,Diger,0.61,MEDIUM,NO,,scripts/lyrics_sattarov/Эки чешме.txt
sattarov,Шинанай,h41A8a7tzwSz5hYcg6k11K,Destan-Şinanay,Destan (Fevzi Aliyev),Destan (Fevzi Aliyev),0.60,MEDIUM,NO,,scripts/lyrics_sattarov/Шинанай.txt
sattarov,Эм северсинъ эм севмезсинъ,WuJfUPlL3TBXouLctH04F2,Emiliya Ablayeva-Severim seni,Emiliya Ablayeva,Emiliya Ablayeva,0.54,LOW,NO,,scripts/lyrics_sattarov/Эм северсинъ эм севмезсинъ.txt
sattarov,Ах джаным Эльмаз,8d3sIiZUWGPElgD6g7USgt,"Zamir Osanov-Ah canım, Elmaz",Zamir Osanov,Zamir Osanov,0.70,MEDIUM,NO,,scripts/lyrics_sattarov/Ах джаным Эльмаз.txt
sattarov,Чынъ,MACy2GnqlDlLBADvcv0MzK,Ayuvciq (Аювчыкъ),Bulbul Kids,Bulbul Kids,0.22,LOW,NO,,scripts/lyrics_sattarov/Чынъ.txt
sattarov,Чыбын,lGGzZw92b6Ad7y4XFbpI7R,Чайхана,Nazife Reizova,Nazife Reizova ve Emine Ziadin,0.33,LOW,NO,,scripts/lyrics_sattarov/Чыбын.txt
sattarov,Эльмаз,y6HDnMzIAyUAet8ZvaUxUZ,Selâm-Nazlı,Selâm,Selâm,0.67,MEDIUM,NO,,scripts/lyrics_sattarov/Эльмаз.txt
sattarov,Xайырсыз,fv7jJf91xYRAjV2LdYGbjY,Seda-Hırsız,Seda,Seda,0.67,MEDIUM,NO,,scripts/lyrics_sattarov/Xайырсыз.txt
crh_lt,Crimean Tatar Folk - Canay,mHFWoREf2GbAIDEKh0f1OB,Enver İzmaylov-Crimean Tatar Funk,Enver İzmaylov,Enver İzmaylov,0.57,LOW,YES,1/5,scripts/lyrics_crh_lt/Crimean Tatar Folk - Canay.txt
crh_lt,Crimean Tatar Folk - Джанай,mHFWoREf2GbAIDEKh0f1OB,Enver İzmaylov-Crimean Tatar Funk,Enver İzmaylov,Enver İzmaylov,0.57,LOW,YES,2/5,scripts/lyrics_crh_lt/Crimean Tatar Folk - Джанай.txt
crh_lt,The Lion King (OST) - Hakuna Matata (Crimean Tatar),mHFWoREf2GbAIDEKh0f1OB,Enver İzmaylov-Crimean Tatar Funk,Enver İzmaylov,Enver İzmaylov,0.47,LOW,YES,3/5,scripts/lyrics_crh_lt/The Lion King (OST) - Hakuna Matata (Crimean Tatar).txt
crh_lt,The Lion King (OST) - Can you feel the love tonight (Crimean Tatar),mHFWoREf2GbAIDEKh0f1OB,Enver İzmaylov-Crimean Tatar Funk,Enver İzmaylov,Enver İzmaylov,0.45,LOW,YES,4/5,scripts/lyrics_crh_lt/The Lion King (OST) - Can you feel the love tonight (Crimean Tatar).txt
