Source;Lyrics File;Song ID;Song Title;File Path;IsMatch;Artist;Album;Score;Status;Has Variants;Variant Rank
crh_lt;Dilyara Tukyanji - Ayşem;o0xqUhVE9HsfHYMBChg8AC;Dilyara Tukyanji - Ay&#351;scripts/lyrics_crh_lt/Dilyara Tukyanji - Ayşem.txt;Y;em;Dilyara Tukyanji;Dilyara Tukyanji;1.01;HIGH;NO
crh_lt;Dilyara Tukyanji - Men Bu Gece Bir Tüş Kördim;mP6TIpC5TW1NFsqg5Vzi2p;Dilyara Tukyanji - Men bu gece bir t&#252;scripts/lyrics_crh_lt/Dilyara Tukyanji - Men Bu Gece Bir Tüş Kördim.txt;Y;;;;HIGH;NO;0.97
sattarov;Яйля бою;60WnR49z7BOtFXCnpSHOty;Sato-Yaylâ boyu;scripts/lyrics_sattarov/Яйля бою.txt;Y;Diger;Diger;0.8;HIGH;NO;
sattarov;Юксек  минарет;hzXAkGxOaEm83XTVXTOPr9;Anara-Yüksek minare;scripts/lyrics_sattarov/Юксек  минарет.txt;Y;Anara;Anara;0.81;HIGH;NO;
crh_lt;Marlen Settarov - İnci Danesi;yelO6i3D8CjZR7YMcG0oVo;Marlen Settarov-İnci danesi;scripts/lyrics_crh_lt/Marlen Settarov - İnci Danesi.txt;Y;Marlen Settarov;Marlen Settarov;1.08;HIGH;NO;
crh_lt;Asiye Saale - Kemançemniñ telleri;S0GWwmrqPkyRpBRt1oMT7r;Asiye Saale-Kemançemniñ telleri;scripts/lyrics_crh_lt/Asiye Saale - Kemançemniñ telleri.txt;Y;Asiye Saale;Asiye Saale;1.02;HIGH;NO;
crh_lt;Asan Hayretdinov - Vatanım;Od5yL8vzGcEvy2iFxbCKHA;Asan Hayretdinov-Vatanım;scripts/lyrics_crh_lt/Asan Hayretdinov - Vatanım.txt;Y;Asan Hayretdinov;Asan Hayretdinov;1.08;HIGH;NO;
crh_lt;Afize Yusuf-Qızı - Seni kördükçe;ktonU23PtrjcxnIRDdvsch;Afize Yusuf-qızı-Seni kördükçe;scripts/lyrics_crh_lt/Afize Yusuf-Qızı - Seni kördükçe.txt;Y;Afize Yusuf-qızı;Afize Yusuf-qızı;0.98;HIGH;NO;
crh_lt;Afize Kassara - Elmalım;lFZUScB50xCl1hfERr8OfV;Afize Kassara-Elmalım;scripts/lyrics_crh_lt/Afize Kassara - Elmalım.txt;Y;Afize Kassara;Afize Kassara;1.08;HIGH;YES;1/2
crh_lt;Aliye Civan - Sensiz;wGWhv6PjpXHeMpHlsNgnoD;Aliye Civan-Sensiz;scripts/lyrics_crh_lt/Aliye Civan - Sensiz.txt;Y;Aliye Civan;Aliye Civan;1.07;HIGH;NO;
crh_lt;Afize Kassara - Mecbur oldım;kBv3zxrc62l4oKoM40drCM;Afize Kassara-Mecbur oldım;scripts/lyrics_crh_lt/Afize Kassara - Mecbur oldım.txt;Y;Afize Kassara;Afize Kassara;1.08;HIGH;NO;
crh_lt;Arsen Bekirov - Nazlı yarem;fYbz33zVxk0FHYt3vhcWhD;Arsen Bekirov-Nazlı yarem;scripts/lyrics_crh_lt/Arsen Bekirov - Nazlı yarem.txt;Y;Arsen Bekirov;Arsen Bekirov;1.08;HIGH;NO;
crh_lt;Jamala - 1944;eD801KLuPrYljeLTJ19EHd;Jamala - 1944;scripts/lyrics_crh_lt/Jamala - 1944.txt;Y;Jamala;Jamala;1.1;HIGH;NO;
crh_lt;Emiliya Ablayeva - Bir top gül;DXL6TgUOSq2dFaM1bepAJk;Emiliya Ablayeva-Bir top gül;scripts/lyrics_crh_lt/Emiliya Ablayeva - Bir top gül.txt;Y;Emiliya Ablayeva;Emiliya Ablayeva;1.05;HIGH;NO;
crh_lt;Afize Kassara - Qaranfil;svYRNeLpx86isICzBefRD3;Afize Kassara-Qaranfil;scripts/lyrics_crh_lt/Afize Kassara - Qaranfil.txt;Y;Afize Kassara;Afize Kassara;1.08;HIGH;NO;
crh_lt;Elnara Küçük - Ayatım;byaULHd7X8PSZ4LGy8G46W;Elnara Küçük-Ayatım;scripts/lyrics_crh_lt/Elnara Küçük - Ayatım.txt;Y;Elnara Küçük;Elnara Küçük;0.81;HIGH;YES;1/2
crh_lt;Emine Cevdetova - Sevgi Севги;LXIPtvny3dKvk7ImDWblww;Emine Cevdetova-Sevgi;scripts/lyrics_crh_lt/Emine Cevdetova - Sevgi Севги.txt;Y;Emine Cevdetova;Emine Cevdetova;0.95;HIGH;NO;
crh_lt;Aliye Yakubova - Ediye;fzYeUpiF8PTlAC6BqusyIv;Aliye Yakubova-Ediye;scripts/lyrics_crh_lt/Aliye Yakubova - Ediye.txt;Y;Aliye Hacabadinova;Aliye Hacabadinova;0.97;HIGH;NO;
crh_lt;Dilâver Bekirov - Ay, çamlar;uVyHi52xhP1w0qAQbgeLPT;Dilâver Bekirov-Ay, çamlar;scripts/lyrics_crh_lt/Dilâver Bekirov - Ay, çamlar.txt;Y;Dilâver Bekirov;Dilâver Bekirov;0.92;HIGH;NO;
crh_lt;Elvina Yuldaşeva - Aqqan suvlar;4lYS9WrJHfFHO5CezFhfDS;Elvina Yuldaşeva-Aqqan suvlar;scripts/lyrics_crh_lt/Elvina Yuldaşeva - Aqqan suvlar.txt;Y;Elvina Yuldaşeva;Elvina Yuldaşeva;0.95;HIGH;NO;
crh_lt;Elvira Sarıhalil - Geceler, uzun geceler Геджелер, узун геджелер;6EK7XQkU9TzbmXL0fAOH39;Elvira Sarıhalil-Geceler uzun geceler;scripts/lyrics_crh_lt/Elvira Sarıhalil - Geceler, uzun geceler Геджелер, узун геджелер.txt;Y;Elvira Sarıhalil;Elvira Sarıhalil;0.87;HIGH;NO;
crh_lt;Jamala - Mektüp yazdım;aPtrMGFL8dDtHwLNJO5EfV;Jamala-Mektüp yazdım (Live);scripts/lyrics_crh_lt/Jamala - Mektüp yazdım.txt;Y;Jamala;Jamala;0.92;HIGH;NO;
crh_lt;Afize Yusuf-Qızı - Ahtem;u5i8J6Ilhl98eWWooRg4Zr;Afize Yusuf-qızı-Ahtem;scripts/lyrics_crh_lt/Afize Yusuf-Qızı - Ahtem.txt;Y;Afize Yusuf-qızı;Afize Yusuf-qızı;1.08;HIGH;NO;
